moisture,protein,fat,ash,crude_fiber,total_carbohydrates,dietary_fiber,sugars,FRAP
15.13,25.98,1.91,4.06,4.62,48.31,14.67633661,8.614920059,42.49
13.99,26.06,2.36,4.14,4.06,49.4,14.41890331,8.795531353,36.78
10.7,22.88759,1.9646,2.47361,5.397161294,43.4891,18.34507624,4.47393,36.18
11,24.7865,0.9434,3.0438,4.0139,52.32862006,13.48794282,5.174854706,34.06
10.6,24.71016,0.67944,1.90422,3.3972,53.10525941,13.48794282,5.221454706,28.31
9.4,24.76098,0.91506,2.7633,5.436,52.42507506,13.48794282,5.095237059,36.02
8.9,24.6881,1.05676,2.16818,4.03573,55.03863035,13.48794282,5.095237059,29.5
8.9,24.76098,0.98388,2.76944,5.466,53.27928094,13.603563,5.095237059,36.01
7.2,24.74048,0.86304,2.24576,4.89056,54.864178,13.65162564,5.171707647,30.64
8,24.6836,1.2604,2.5852,4.7932,54.31744565,13.46851371,5.095237059,26.22
7.5,24.7715,1.332,2.3495,4.4215,55.23895741,13.21615124,5.171707647,34.66
8.1,24.79462,1.13956,2.86728,4.4112,55.23871476,13.603563,5.095237059,42.02
8.3,24.79568,1.06372,2.90689,4.4933,54.36126771,13.603563,5.095237059,31.91
7.69,21.07,5.94,2.7,6.56,51.829378,19.47876471,3.768552941,34.21
10.5,21.0325,1.60205,3.28465,4.3139,58.77503429,16.49635288,8.679984941,30.38
9,16.198,5.278,1.6653,5.8968,54.41411765,17.73171376,5.040764706,18.5
9.77,19.33,4.69,3.13,5.1,57.98,18.1796802,4.597741176,26.48
10.19,20.51,4.04,2.89,5.08,57.29,19.54304937,6.407435294,19.78
9.36,20.54,5.6,2.78,4.93,56.79,18.17703064,3.565294118,31.32
10.01,20.34,6.01,3.21,5.71,54.72,17.81150639,4.351505882,32.97
9.83,17.51,4.23,3.04,5.47,59.92,18.77367385,6.470188235,35.54
9.91,23.53,4.4,2.97,5.04,54.15,16.16231273,5.876394118,26.42
10.15,20.74,6.19,2.72,4.8,55.4,17.83346718,3.367058824,14.4
10.11,18.96,5.5,2.74,6.01,56.68,17.77703064,4.543858824,32.87
10.24,20.61,5.95,2.95,5.12,55.13,17.81150639,4.237976471,26.68
9.83,20.56,4.7,3.23,4.87,56.81,18.81697093,4.128,21.75
10.43,20.26,5.67,2.92,5.11,55.61,17.81150639,4.543858824,47
9.99,15.22,5.28,2.73,4.65,62.13,16.87471559,5.355505882,38.16
9.56,19.61,5.24,2.74,6.02,56.83,17.77703064,4.327976471,17.35
9.77,17.96,4.95,2.9,5.34,59.08,18.37945732,4.543858824,27.91
9.86,18.92,4.55,3.28,5.67,57.72,18.1796802,4.543858824,29.74
7.6,22.5,2.05,3.1,13.2,50.25020565,13.12297133,5,29.2
6.7,22.25,2.07,3.22,13.7,47.79130094,12.8460851,5.1,45.96
6.3,22.19,2.1,3.15,14.1,46.86219506,12.8460851,5,49.01
13.4,20,13.5,3.5,6.4,52.32077694,19.83443206,3.658823529,31.6
11.22,16.06,6.24,3.21,5.114126353,34.3,28.9,6.3617,36.54
9.33,19.2,6.27,3.74,6.019688529,32,29.5,7.348470588,37.76
8.88,19.34,6.84,3.41,6.397125353,31.2,30.4,6.919017647,26.63
8.67,17.7,7.27,3.93,4.783101647,38.3,24,4.257388235,33.41
11.38823529,19.43688,2.041764,3.646644,6.348754765,51.427488,12.607224,8.123094118,31.33
10.21529412,23.7299,1.606525,4.029775,6.564488765,47.253375,13.130425,8.781741176,36.51
10.90941176,23.242187,1.651865,3.678748,6.902634529,51.60962,9.10758,8.951482353,38.88
10.44352941,23.439676,1.678088,3.427584,6.558063941,50.369418,10.336308,9.547452941,24.79
11.22117647,18.496192,2.173392,3.5776,5.967405529,54.522624,10.670192,7.910647059,31.92
10.36823529,20.761345,1.958955,3.211255,6.809916824,52.587655,10.93079,8.263429412,27.97
9.854705882,25.331988,1.303196,3.338324,5.070361647,47.7541,11.541318,8.345341176,23.71
10.49823529,21.121384,1.563216,3.45884,7.227460235,54.1286,9.56796,7.884870588,39.63
10.45764706,22.608025,1.23855,3.14125,6.672671294,53.230725,9.53145,9.361223529,32.27
9.877647059,21.29792,1.39776,3.50336,6.410740118,51.27808,12.12288,8.063882353,30.9
10.09705882,21.447458,1.401853,3.348375,6.682141176,50.868513,12.304162,7.907482353,33.56
10.84294118,22.3575,1.690227,3.988578,6.183886588,50.867784,10.516968,8.499882353,27.6
10.80941176,23.74416,1.870752,3.723516,6.602929941,51.283788,9.326778,9.273823529,34.56
13.99666667,19.98188406,1.256666667,3.543333333,4.594297471,57.93472288,18.42,7.235291529,41.53
13.53333333,20.10416667,0.946666667,3.936666667,4.699012176,57.93472288,30.32,8.324347059,23.74
